City,Latitude,Longitude,GridID
Los Angeles,33.7,-118.7,LA_Lat674_Lon-2374
Los Angeles,33.7,-118.60000000000001,LA_Lat674_Lon-2373
Los Angeles,33.7,-118.55000000000001,LA_Lat674_Lon-2372
Los Angeles,33.7,-118.50000000000001,LA_Lat674_Lon-2371
Los Angeles,33.7,-118.45000000000002,LA_Lat674_Lon-2370
Los Angeles,33.7,-118.40000000000002,LA_Lat674_Lon-2369
Los Angeles,33.7,-118.35000000000002,LA_Lat674_Lon-2368
Los Angeles,33.7,-118.30000000000003,LA_Lat674_Lon-2367
Los Angeles,33.7,-118.25000000000003,LA_Lat674_Lon-2366
Los Angeles,33.7,-118.20000000000003,LA_Lat674_Lon-2365
Los Angeles,33.7,-118.15000000000003,LA_Lat674_Lon-2364
Los Angeles,33.7,-118.10000000000004,LA_Lat674_Lon-2363
Los Angeles,33.7,-118.05000000000004,LA_Lat674_Lon-2362
Los Angeles,33.7,-118.00000000000004,LA_Lat674_Lon-2361
Los Angeles,33.75,-118.7,LA_Lat674_Lon-2374
Los Angeles,33.75,-118.60000000000001,LA_Lat674_Lon-2373
Los Angeles,33.75,-118.55000000000001,LA_Lat674_Lon-2372
Los Angeles,33.75,-118.50000000000001,LA_Lat674_Lon-2371
Los Angeles,33.75,-118.45000000000002,LA_Lat674_Lon-2370
Los Angeles,33.75,-118.40000000000002,LA_Lat674_Lon-2369
Los Angeles,33.75,-118.35000000000002,LA_Lat674_Lon-2368
Los Angeles,33.75,-118.30000000000003,LA_Lat674_Lon-2367
Los Angeles,33.75,-118.25000000000003,LA_Lat674_Lon-2366
Los Angeles,33.75,-118.20000000000003,LA_Lat674_Lon-2365
Los Angeles,33.75,-118.15000000000003,LA_Lat674_Lon-2364
Los Angeles,33.75,-118.10000000000004,LA_Lat674_Lon-2363
Los Angeles,33.75,-118.05000000000004,LA_Lat674_Lon-2362
Los Angeles,33.75,-118.00000000000004,LA_Lat674_Lon-2361
Los Angeles,33.8,-118.7,LA_Lat675_Lon-2374
Los Angeles,33.8,-118.60000000000001,LA_Lat675_Lon-2373
Los Angeles,33.8,-118.55000000000001,LA_Lat675_Lon-2372
Los Angeles,33.8,-118.50000000000001,LA_Lat675_Lon-2371
Los Angeles,33.8,-118.45000000000002,LA_Lat675_Lon-2370
Los Angeles,33.8,-118.40000000000002,LA_Lat675_Lon-2369
Los Angeles,33.8,-118.35000000000002,LA_Lat675_Lon-2368
